email,square_footage,household_type,thermostat_setting_heating,thermostat_setting_cooling,postal_code
jswayze@zoomit.com,1202,house,69,72,56399
jsweely@betasoloin.com,1297,house,72,72,70352
jsweely@labdrill.com,1504,house,70,73,97477
jsweely@statholdings.com,531,apartment,72,72,84404
jsweigard@green-plus.com,1115,house,72,NULL,26415
jsweigard@isdom.com,980,apartment,71,NULL,15920
jsyrop@hatfan.com,1184,apartment,76,NULL,62884
jtegarden@isdom.com,1001,apartment,75,69,13409
jtheodorov@kan-code.com,1055,condominium,73,71,06380
jtillotson@ontomedia.com,829,townhome,72,76,73439
jtimenez@hatfan.com,845,apartment,NULL,NULL,07456
jtomasulo@scottech.com,3299,house,70,72,25711
jtomblin@scotfind.com,909,apartment,NULL,72,52225
jtreston@dalttechnology.com,1024,apartment,73,73,60933
jtromblay@mathtouch.com,1225,condominium,73,73,12260
jupthegrove@plussunin.com,895,townhome,72,73,50231
jupthegrove@singletechno.com,538,house,NULL,73,07820
juyetake@xx-holding.com,1344,house,NULL,NULL,33084
juyetake@zathunicon.com,814,house,68,73,79739
jvanausdal@donware.com,56,townhome,72,74,24375
jvenere@warephase.com,1659,house,72,74,18348
jvinning@doncon.com,442,apartment,76,NULL,73052
jvinning@isdom.com,1740,house,71,NULL,75264
jvinning@kinnamplus.com,1124,house,NULL,71,20408
jvizarro@ganjaflex.com,673,apartment,72,72,34229
jwalthall@ontomedia.com,1083,apartment,74,72,66620
jwalthall@zotware.com,181,"mobile home",77,NULL,86431
jwardrip@j-texon.com,218,"mobile home",70,NULL,16120
jwaymire@kinnamplus.com,442,apartment,74,74,98322
jweglarz@openlane.com,666,townhome,71,69,50465
jwenzinger@inity.com,750,apartment,72,NULL,62026
jwiklund@plussunin.com,757,house,75,75,60137
jwildfong@zotware.com,3202,house,73,69,95669
jwitten@plexzap.com,117,townhome,76,NULL,56230
jwrinkles@zoomit.com,431,"mobile home",69,72,61639
jyaw@lexiqvolax.com,2046,house,72,70,25106
jyglesias@zumgoity.com,3145,house,69,73,71426
jyori@fasehatice.com,1110,townhome,76,73,85099
jzepp@condax.com,669,house,75,NULL,16665
kabdallah@condax.com,546,"mobile home",73,72,54870
kacuff@finhigh.com,815,house,NULL,NULL,01054
kagramonte@labdrill.com,238,"mobile home",76,NULL,20612
kagramonte@rangreen.com,595,house,73,72,93624
kalbares@openlane.com,1553,house,65,76,80530
kamyot@labdrill.com,2192,apartment,72,72,33736
kangalich@blackzim.com,424,apartment,73,74,92616
kankeny@statholdings.com,1526,house,73,76,07184
kauber@finjob.com,1809,house,75,70,56561
kbachman@scottech.com,966,townhome,76,70,62763
kbatman@opentech.com,261,"mobile home",69,73,59313
kbenimadho@hatfan.com,650,house,72,NULL,33167
kbenimadho@konex.com,973,house,75,73,85553
kbergesen@dalttechnology.com,1710,house,74,69,21627
kbergesen@xx-holding.com,1118,apartment,70,74,54858
kberlanga@finjob.com,3706,house,76,74,78468
kberlanga@ron-tech.com,751,house,71,NULL,14172
kberray@year-job.com,470,apartment,66,NULL,11243
kbevelacqua@blackzim.com,1332,apartment,76,71,05085
kbevelacqua@xx-zobam.com,1081,apartment,72,73,81084
kbiddy@betatech.com,467,condominium,69,73,85065
kbirkner@statholdings.com,1159,house,69,NULL,03221
kblackwood@condax.com,56,apartment,NULL,73,60055
kbookamer@golddex.com,958,apartment,76,NULL,45830
kbourbon@domzoom.com,282,"mobile home",71,74,20099
kbrachle@doncon.com,1183,condominium,NULL,73,16863
kbreland@fasehatice.com,214,condominium,77,71,80314
kbreland@iselectrics.com,820,apartment,NULL,69,11426
kbreland@kinnamplus.com,1509,house,71,NULL,17976
kbrossart@dontechi.com,849,condominium,72,76,64766
kbubash@hatfan.com,502,condominium,76,75,41040
kburnard@plexzap.com,759,house,75,NULL,53924
kbutzen@newex.com,2576,house,68,72,56310
kcaiafa@betasoloin.com,1445,house,70,NULL,04454
kcaiafa@blackzim.com,1096,house,73,75,67073
kcampain@cancity.com,942,house,74,NULL,43606
kcampain@xx-zobam.com,1542,apartment,76,NULL,43311
kcartan@inity.com,1300,apartment,77,NULL,24157
kcartan@rantouch.com,986,apartment,67,72,58046
kcaudy@kinnamplus.com,1712,townhome,70,74,28503
kcaudy@rangreen.com,60,house,66,NULL,14221
kcaudy@singletechno.com,522,apartment,73,73,41812
kcentini@dontechi.com,495,"mobile home",68,73,18218
kcetta@plexzap.com,2500,townhome,72,NULL,33097
kcomnick@bioholding.com,1038,townhome,75,NULL,51441
kcorrington@sunnamplex.com,824,apartment,70,73,37687
kcorrio@konmatfix.com,1486,house,75,NULL,13648
kcousey@zotware.com,1661,townhome,69,71,16827
kcraghead@singletechno.com,1491,house,74,73,74962
kcrupi@funholding.com,1125,apartment,70,75,59317
kcrupi@yearin.com,818,condominium,72,75,79159
kdallen@newex.com,949,apartment,73,74,43535
kdaufeldt@groovestreet.com,938,apartment,76,73,82648
kdegonia@donware.com,764,house,NULL,69,06065
kdegroot@bioholding.com,717,apartment,71,72,66938
kdelasancha@codehow.com,1436,house,72,NULL,15075
kdelasancha@sunnamplex.com,427,"mobile home",71,74,00768
kdemesa@lexiqvolax.com,705,condominium,68,73,11405
kdemesa@openlane.com,1214,apartment,73,72,71667
kdevreese@goodsilron.com,747,house,70,70,30756
kdhamer@warephase.com,1318,townhome,72,NULL,42539
kdopico@codehow.com,845,apartment,66,68,05850
kduenas@conecom.com,1982,house,68,72,90079
kehmann@dontechi.com,101,apartment,74,NULL,75378
kengelberg@singletechno.com,1031,house,75,71,76198
kestell@iselectrics.com,70,apartment,70,72,58313
kferencz@fasehatice.com,1252,condominium,75,69,65440
kferencz@zoomit.com,753,house,76,69,10927
kferrario@bioholding.com,789,apartment,71,NULL,47420
kfigeroa@finhigh.com,212,townhome,76,NULL,80165
kfrey@zathunicon.com,826,apartment,NULL,71,64456
kgalam@blackzim.com,592,apartment,75,69,40618
kgato@xx-zobam.com,513,apartment,72,69,20144
kgehrett@codehow.com,97,house,74,NULL,01077
kgibes@bioplex.com,1164,condominium,68,71,96080
kgiguere@donquadtech.com,2253,condominium,76,NULL,00603
kglick@treequote.com,1419,townhome,66,73,72531
kgobern@treequote.com,2510,house,NULL,75,94555
kgochal@green-plus.com,159,"mobile home",67,71,48208
kgudroe@dalttechnology.com,723,condominium,72,NULL,11786
khalsey@kinnamplus.com,1382,house,74,70,46566
khamilton@labdrill.com,393,apartment,77,NULL,73459
khamilton@openlane.com,2044,house,73,NULL,13606
khanafan@bioplex.com,942,apartment,68,72,18955
kheimann@sumace.com,92,house,73,NULL,24889
khengel@treequote.com,1866,house,76,72,54889
kherritt@sumace.com,1112,house,75,73,79322
khochard@lexiqvolax.com,662,house,NULL,72,94929
khochard@year-job.com,3019,townhome,73,75,79084
khollack@bioplex.com,1082,apartment,72,72,16422
khollack@plussunin.com,1165,house,73,NULL,23509
khudnall@zoomit.com,2189,house,67,NULL,16414
kjacobos@toughzap.com,1277,apartment,NULL,72,39579
kjulia@stanredtax.com,1537,house,NULL,68,64469
kkaniecki@toughzap.com,1143,condominium,NULL,71,56364
kkannady@zencorporation.com,1764,house,76,NULL,73058
kkardas@sonron.com,1311,condominium,70,NULL,48419
kkardas@xx-zobam.com,1041,apartment,75,NULL,85927
kkeetch@gogozoom.com,870,apartment,72,73,25247
kketelsen@sumace.com,1020,apartment,74,72,64187
kkippley@konmatfix.com,304,"mobile home",73,73,94941
kkitzman@donquadtech.com,923,apartment,72,72,12953
kklimek@stanredtax.com,1410,house,75,68,27836
kklimek@sumace.com,957,condominium,76,71,77351
kklonowski@lexiqvolax.com,470,condominium,78,73,45066
kkulzer@dontechi.com,861,townhome,70,69,77504
kkulzer@j-texon.com,1037,apartment,75,75,99138
klabreche@betasoloin.com,2252,townhome,72,76,88321
klacovara@sumace.com,731,apartment,76,75,67260
klawler@zotware.com,1265,apartment,68,74,32572
kleto@iselectrics.com,1923,house,72,NULL,79741
klietz@plusstrip.com,2319,house,NULL,72,90046
klimmel@green-plus.com,856,apartment,73,NULL,44274
klimmel@ontomedia.com,626,condominium,70,NULL,91715
kliukko@xx-holding.com,444,apartment,72,75,30335
kloader@betasoloin.com,1665,condominium,73,72,19050
klother@rundofase.com,1333,apartment,78,74,86438
klother@statholdings.com,1156,apartment,72,72,45309
klungren@betatech.com,475,condominium,75,NULL,73110
klungren@rundofase.com,1169,house,74,73,66959
kmarrier@konmatfix.com,2433,house,73,NULL,46365
kmastella@statholdings.com,70,apartment,NULL,73,41619
kmclaird@sonron.com,1540,townhome,70,74,67342
kmenter@opentech.com,39,"mobile home",69,75,47584
kmenter@statholdings.com,5124,house,72,72,93291
kmerced@iselectrics.com,1763,apartment,73,70,78750
kmiro@bioholding.com,1078,townhome,71,NULL,54017
kmiro@goodsilron.com,291,apartment,75,NULL,70503
kmiro@rangreen.com,1768,condominium,72,69,65301
kmodzelewski@rangreen.com,1571,townhome,NULL,76,88136
kmonarrez@finhigh.com,603,house,70,72,22641
kmondella@mathtouch.com,1202,condominium,69,75,60646
kmonterrubio@golddex.com,2443,apartment,71,73,13455
kmonterrubio@j-texon.com,361,"mobile home",75,75,28601
kmorasca@statholdings.com,1247,apartment,70,NULL,11767
kmotley@rangreen.com,1259,house,NULL,71,62896
knabours@finjob.com,644,condominium,70,73,45330
knabours@warephase.com,1950,condominium,69,NULL,30733
knachor@goodsilron.com,778,condominium,72,71,19357
knayar@stanredtax.com,738,apartment,74,73,49735
knestle@nam-zim.com,395,"mobile home",75,74,38603
kogg@rundofase.com,195,townhome,75,75,94067
kohms@hatfan.com,147,house,69,NULL,88043
kostrosky@ganjaflex.com,212,"mobile home",72,NULL,30348
kpaa@hottechi.com,590,house,NULL,71,62027
kparvis@gogozoom.com,2550,house,66,72,28056
kpaskin@labdrill.com,1162,house,69,73,18202
kpatak@toughzap.com,2065,townhome,70,73,68329
kpaulas@xx-holding.com,1240,townhome,74,69,35978
kperez@silis.com,1116,condominium,70,NULL,94042
kperin@kan-code.com,815,condominium,75,73,92595
kpoquette@ron-tech.com,1705,townhome,NULL,69,25926
kpoullion@dontechi.com,700,house,78,NULL,30305
kradde@finhigh.com,1003,condominium,77,69,14484
kragel@fasehatice.com,1959,townhome,73,NULL,97868
krantanen@gogozoom.com,1146,apartment,73,72,24836
krauser@bioplex.com,1331,house,73,74,73301
krauser@cancity.com,284,"mobile home",73,73,12928
kraymo@ontomedia.com,809,house,74,73,28216
kregusters@blackzim.com,1582,townhome,75,72,33134
kregusters@domzoom.com,1866,house,74,NULL,41098
krestrepo@faxquote.com,621,"mobile home",69,73,05666
krestrepo@treequote.com,813,apartment,NULL,75,08870
krhym@mathtouch.com,1231,condominium,NULL,74,48811
krhym@plussunin.com,1305,house,72,74,44085
krhymes@dontechi.com,769,apartment,64,NULL,28677
kriden@dalttechnology.com,696,house,72,NULL,54641
krim@goodsilron.com,415,apartment,78,73,62938
kriopelle@hottechi.com,991,house,70,NULL,91915
krodeigues@xx-holding.com,1061,condominium,72,75,05156
krodenberger@faxquote.com,1432,house,72,69,48915
krowling@finhigh.com,766,house,74,73,94039
krowling@plussunin.com,1139,apartment,NULL,NULL,48806
ksamu@goodsilron.com,935,apartment,NULL,73,05148
ksarao@iselectrics.com,263,townhome,73,NULL,72740
ksaras@condax.com,622,house,NULL,NULL,51442
ksawchuk@donquadtech.com,70,"mobile home",73,NULL,15325
ksawchuk@singletechno.com,1592,townhome,75,NULL,73031
ksaylors@hottechi.com,361,apartment,64,75,68602
kscheyer@groovestreet.com,2072,house,78,74,65638
kschmierer@gogozoom.com,77,apartment,76,74,91508
kscipione@bioplex.com,900,house,72,NULL,67521
kscriven@donware.com,904,house,74,71,28146
ksemidey@inity.com,972,"mobile home",73,72,64741
kshadrick@dontechi.com,544,apartment,67,69,27407
kshadrick@green-plus.com,1470,house,72,73,05260
kshin@codehow.com,1236,townhome,NULL,70,21216
kshinko@zoomit.com,1294,house,75,75,54220
kshinko@zumgoity.com,914,apartment,76,70,52172
kskursky@openlane.com,1281,apartment,72,NULL,56433
kspringe@nam-zim.com,1800,apartment,NULL,NULL,39456
kspringe@year-job.com,533,apartment,73,NULL,45696
ksteffensmeier@stanredtax.com,679,house,74,71,30502
ksteier@labdrill.com,1134,townhome,72,75,64401
kstem@funholding.com,769,apartment,NULL,72,80960
kstem@plussunin.com,1503,house,78,76,52497
kstockham@domzoom.com,1302,apartment,70,72,49610
kstorment@domzoom.com,105,condominium,74,NULL,56748
kstorment@zumgoity.com,671,apartment,71,NULL,78222
kswayze@rundofase.com,1021,condominium,72,75,13632
ksweigard@silis.com,1309,house,66,71,91184
ktagala@xx-zobam.com,1407,condominium,72,NULL,67741
ktillotson@silis.com,988,condominium,74,68,41526
ktimenez@condax.com,801,apartment,65,71,56701
ktjepkema@labdrill.com,2293,apartment,72,69,16103
kvanheusen@j-texon.com,462,"mobile home",77,71,92831
kvanheusen@labdrill.com,702,townhome,75,75,19009
kvarriano@stanredtax.com,46,apartment,69,NULL,61417
kvenere@doncon.com,472,apartment,75,72,97484
kvillanueva@nam-zim.com,188,house,72,NULL,70538
kvizarro@fasehatice.com,835,apartment,NULL,74,37688
kvonasek@condax.com,430,apartment,64,NULL,21651
kwalthall@goodsilron.com,967,apartment,69,74,10459
kwaycott@toughzap.com,576,condominium,76,73,72370
kwieser@konex.com,587,"mobile home",66,73,24605
kwiklund@faxquote.com,1270,townhome,72,74,77512
kwrinkles@rangreen.com,684,house,74,NULL,01342
kyori@groovestreet.com,1588,apartment,74,73,32244
kzagen@rundofase.com,1376,apartment,72,72,62830
kzepp@singletechno.com,139,house,NULL,73,69026
kzurcher@kan-code.com,2078,house,77,72,55043
kzurcher@rantouch.com,649,house,67,74,96161
labdallah@scotfind.com,99,house,72,NULL,46974
lagramonte@condax.com,177,townhome,71,NULL,47965
lahle@faxquote.com,408,house,73,73,29325
lamyot@sumace.com,1320,apartment,73,72,50271
langalich@goodsilron.com,674,townhome,75,75,33568
lankeny@lexiqvolax.com,1182,house,74,NULL,03873
lankeny@scottech.com,1192,condominium,NULL,71,77453
larceo@bioplex.com,1190,house,76,74,64486
laredondo@j-texon.com,120,townhome,74,NULL,33434
larias@gogozoom.com,1448,condominium,NULL,72,16743
larias@plexzap.com,1358,apartment,76,76,56729
larias@sumace.com,1654,house,76,73,61876
lasar@plusstrip.com,85,townhome,77,74,54416
lasar@sumace.com,3159,house,75,73,12452
lauffrey@zoomit.com,1245,house,69,68,01748
lbaltimore@kan-code.com,1511,house,71,72,10586
lbarfield@doncon.com,1073,townhome,66,72,73539
lbarfield@nam-zim.com,1430,apartment,74,NULL,19999
lbartolet@rangreen.com,845,townhome,72,73,27614
lbatman@year-job.com,563,condominium,75,NULL,15027
lbeech@golddex.com,580,apartment,76,NULL,63101
lbenimadho@rundofase.com,708,house,76,71,25812
lbennick@konmatfix.com,1139,apartment,67,72,97914
lberganza@sumace.com,1096,townhome,NULL,69,32562
lberganza@zoomit.com,176,house,78,NULL,32901
lbergesen@bioplex.com,124,"mobile home",73,NULL,18091
lbergesen@newex.com,256,house,65,74,24230
lberray@openlane.com,726,apartment,71,69,64141
lbilden@groovestreet.com,224,condominium,69,71,20503
lbilden@sonron.com,744,house,NULL,72,79537
lblackwood@kinnamplus.com,1379,townhome,70,75,48104
lbolognia@donware.com,1807,townhome,67,NULL,41472
lbolognia@zoomit.com,149,"mobile home",76,NULL,54937
lbookamer@statholdings.com,445,"mobile home",77,74,93714
lbookamer@zencorporation.com,775,house,73,NULL,70791
lboord@hottechi.com,1005,townhome,76,73,60619
lboord@yearin.com,469,condominium,72,71,33052
lboulter@fasehatice.com,1508,townhome,65,75,04462
lboulter@labdrill.com,675,condominium,77,71,42370
lbreland@statholdings.com,778,condominium,76,75,02669
lbriddick@singletechno.com,1942,condominium,NULL,74,94502
lbrossart@isdom.com,1560,apartment,71,70,40405
lbrucato@dambase.com,2923,house,NULL,71,69167
lbruschke@dontechi.com,1102,townhome,73,72,85268
lbubash@openlane.com,664,condominium,74,73,48762
lbubash@scotfind.com,192,"mobile home",65,NULL,62348
lbubash@stanredtax.com,541,apartment,71,NULL,60466
lbuemi@hatfan.com,735,house,66,74,46112
lburnard@kan-code.com,1795,house,70,NULL,17841
lbuvens@blackzim.com,28,"mobile home",71,NULL,11958
lbuvens@statholdings.com,487,apartment,NULL,NULL,83025
lbuzick@newex.com,49,apartment,70,68,23917
lbuzick@zencorporation.com,975,apartment,71,70,37369
lcaiafa@groovestreet.com,5659,townhome,NULL,73,61263
lcaiafa@plussunin.com,1292,house,76,73,23017
lcallaro@codehow.com,826,house,71,71,11788
lcallaro@faxquote.com,1218,townhome,73,75,89599
lcampain@fasehatice.com,198,"mobile home",71,NULL,62946
lcanlas@donquadtech.com,429,apartment,71,75,50604
lcantres@y-corporation.com,416,apartment,74,75,47288
lcartan@inity.com,854,apartment,NULL,NULL,85363
lcartan@konmatfix.com,1402,apartment,NULL,NULL,95121
lcastros@betatech.com,498,apartment,78,NULL,74944
lcetta@bioholding.com,2507,house,75,75,73834
lcetta@codehow.com,126,townhome,72,72,97375
lcetta@kan-code.com,882,apartment,73,74,48811
lchaffins@plussunin.com,1026,condominium,76,NULL,78840
lchaffins@treequote.com,759,townhome,NULL,NULL,68303
lclaucherty@toughzap.com,692,house,70,NULL,13111
lcolaizzo@bioplex.com,1362,apartment,72,73,90510
lcolaizzo@zumgoity.com,678,apartment,NULL,71,59242
lcolla@plussunin.com,1050,townhome,73,70,71844
lcoody@doncon.com,990,house,74,NULL,40081
lcoody@warephase.com,790,apartment,72,NULL,14539
lcorbley@faxquote.com,79,apartment,67,72,13656
lcork@treequote.com,616,townhome,70,75,83220
lcorrio@gogozoom.com,448,apartment,69,72,06053
lcorrio@lexiqvolax.com,520,townhome,65,74,73567
lcorrio@rundofase.com,63,house,72,76,74740
lcousey@dambase.com,1183,"mobile home",69,69,03444
lcoyier@condax.com,1889,apartment,72,70,67106
lcoyier@openlane.com,805,apartment,75,NULL,92619
lcronauer@xx-holding.com,138,house,73,NULL,37230
lcrupi@funholding.com,848,house,71,71,01510
lcrupi@green-plus.com,75,apartment,69,73,27292
lcryer@bioholding.com,717,house,75,NULL,11714
lcryer@kan-code.com,1129,house,69,75,64674
lcryer@konmatfix.com,842,house,71,NULL,64803
ldallen@hottechi.com,1267,apartment,70,73,24333
ldarakjy@plexzap.com,1210,apartment,74,71,15317
ldarakjy@stanredtax.com,994,apartment,73,73,85628
ldaufeldt@ron-tech.com,111,condominium,76,73,78575
ldegonia@inity.com,1651,house,64,74,23845
ldegonia@kinnamplus.com,1024,apartment,70,71,48911
ldegonia@plusstrip.com,657,townhome,NULL,76,04097
ldeleo@codehow.com,1163,townhome,67,NULL,70527
ldevreese@doncon.com,2340,apartment,75,70,28331
ldewar@y-corporation.com,3285,townhome,72,NULL,56138
ldiestel@year-job.com,706,house,71,NULL,01472
ldilello@scotfind.com,1079,townhome,68,71,23665
ldinos@plusstrip.com,675,townhome,70,72,45781
ldopico@warephase.com,1876,house,NULL,74,83438
ldubaldi@stanredtax.com,788,house,NULL,NULL,32781
leanes@openlane.com,1594,house,74,73,67460
leanes@zathunicon.com,2234,townhome,74,74,54749
lemard@dalttechnology.com,204,"mobile home",73,69,57271
lemard@singletechno.com,702,apartment,69,NULL,72326
lemard@stanredtax.com,2505,house,73,74,19903
lemigh@betasoloin.com,1440,house,68,73,59760
lemigh@plexzap.com,341,apartment,71,75,11414
lengelberg@plusstrip.com,908,house,NULL,74,56395
lennaco@bioplex.com,681,apartment,72,NULL,24224
lennaco@streethex.com,656,house,71,72,45652
leroman@zoomit.com,177,house,NULL,76,32237
leschberger@scottech.com,2234,house,76,74,41513
lestell@domzoom.com,381,apartment,77,74,48310
lestell@lexiqvolax.com,725,house,71,74,17001
lfallick@sonron.com,1726,apartment,71,72,91009
lfarrar@hatfan.com,693,townhome,71,68,55614
lfarrow@y-corporation.com,1258,house,69,70,74873
lfeichtner@donquadtech.com,1051,house,71,72,33770
lfeichtner@streethex.com,109,townhome,77,71,01366
lfelger@fasehatice.com,2462,house,77,NULL,48025
lfelger@nam-zim.com,2478,townhome,72,72,04055
lfigeroa@mathtouch.com,1876,townhome,68,NULL,64443
lfishburne@kinnamplus.com,1723,townhome,74,NULL,61437
lflosi@domzoom.com,1418,condominium,69,74,51551
lflosi@ganjaflex.com,1004,apartment,68,73,44054
lfoller@golddex.com,752,house,72,NULL,18229
lfoller@konex.com,2467,house,70,69,56750
lfrerking@dambase.com,926,apartment,76,70,96053
lfrey@sonron.com,2570,house,75,73,16856
lfunnell@opentech.com,1668,house,69,75,72631
lgehrett@rantouch.com,1032,apartment,73,73,77592
lgellinger@sunnamplex.com,540,townhome,71,70,75263
lgiguere@goodsilron.com,913,house,69,72,05466
lgillaspie@konmatfix.com,1516,house,77,NULL,47863
lgillaspie@statholdings.com,937,house,NULL,73,29821
lgleich@bioholding.com,663,house,73,75,32722
lgleich@golddex.com,826,house,73,72,40119
lgleich@plusstrip.com,923,apartment,NULL,NULL,29628
lgleich@scottech.com,1433,apartment,69,76,94245
lglick@openlane.com,1144,house,NULL,72,55747
lgobern@ganjaflex.com,120,townhome,76,72,82329
lgoldammer@blackzim.com,495,apartment,76,NULL,75435
lgotter@xx-zobam.com,483,townhome,74,NULL,75172
lgreenbush@iselectrics.com,898,condominium,68,69,19435
lgreenbush@sunnamplex.com,1436,house,71,73,45268
lhagele@lexiqvolax.com,930,house,67,70,11757
lharabedian@betatech.com,1749,apartment,76,74,38857
lharnos@finjob.com,583,townhome,67,NULL,91125
lharnos@sonron.com,1452,townhome,76,NULL,61755
lharoldson@nam-zim.com,611,townhome,NULL,NULL,77969
lharoldson@toughzap.com,1500,house,71,NULL,95234
lhaufler@donquadtech.com,301,apartment,72,NULL,47654
lhaufler@rantouch.com,1592,apartment,NULL,72,91921
lheimann@groovestreet.com,1586,apartment,66,NULL,52253
lheimann@rantouch.com,65,house,68,71,58718
lheimann@silis.com,900,apartment,76,74,47114
lheimann@sunnamplex.com,1604,apartment,73,NULL,28754
lheintzman@plexzap.com,1540,apartment,74,NULL,12590
lheintzman@year-job.com,1098,condominium,78,NULL,47740
lhellickson@sumace.com,647,house,72,70,52531
lhengel@donware.com,877,house,72,70,07060
lhiatt@j-texon.com,246,"mobile home",74,71,06030
lhirpara@blackzim.com,2173,house,66,73,04359
lhirpara@golddex.com,1218,house,74,73,13119
lhirpara@scottech.com,450,apartment,72,73,98645
lhirpara@statholdings.com,901,apartment,70,NULL,47043
lhixenbaugh@hatfan.com,325,house,71,72,38348
lhochard@gogozoom.com,2264,apartment,73,71,79745
lhochard@inity.com,547,apartment,74,68,64097
lhochard@y-corporation.com,967,house,76,NULL,46945
lhoffis@iselectrics.com,2303,house,76,74,26282
lhoffis@mathtouch.com,822,apartment,71,72,45804
lhoneywell@funholding.com,812,apartment,73,NULL,21661
lhoneywell@gogozoom.com,860,house,NULL,69,94121
lhoopengardner@betatech.com,713,house,NULL,72,06506
lhoopengardner@statholdings.com,377,"mobile home",67,NULL,80104
lhudnall@nam-zim.com,1166,house,71,NULL,45684
lisenhower@konmatfix.com,232,"mobile home",72,73,01343
ljeanty@scottech.com,744,apartment,66,73,25817
ljillson@labdrill.com,1067,townhome,74,70,61051
ljurney@conecom.com,1238,house,66,73,40972
ljurney@scottech.com,1416,apartment,74,NULL,98430
ljuvera@faxquote.com,1187,condominium,73,74,60192
ljuvera@ron-tech.com,740,townhome,75,71,04623
lkampa@conecom.com,1376,townhome,70,75,46797
lkannady@rantouch.com,2023,house,74,73,45638
lkarpel@warephase.com,824,house,74,70,45481
lkarpin@silis.com,380,"mobile home",76,74,78760
lkarpin@xx-holding.com,1285,townhome,76,72,12087
lkeener@goodsilron.com,1012,apartment,NULL,73,88114
lkeener@iselectrics.com,1746,condominium,72,NULL,76852
lkeetch@cancity.com,690,"mobile home",71,74,29138
lkeneipp@streethex.com,969,house,72,69,03111
lketelsen@doncon.com,875,apartment,73,73,28682
lkiel@finhigh.com,2909,apartment,74,NULL,45242
lkiel@streethex.com,2377,house,71,72,49886
lkippley@rantouch.com,103,house,74,NULL,41037
lklang@finhigh.com,480,apartment,NULL,74,08065
lklang@xx-zobam.com,1694,apartment,NULL,72,58224
lklusman@finhigh.com,973,house,NULL,72,38358
lkohnert@warephase.com,253,"mobile home",72,71,46968
lkonopacki@cancity.com,862,apartment,78,72,12071
lkonopacki@hatfan.com,2041,apartment,65,NULL,52077
lkusko@ontomedia.com,523,apartment,66,76,08618
llabreche@donware.com,446,"mobile home",72,69,94283
llabreche@isdom.com,490,apartment,NULL,74,06349
llabreche@zumgoity.com,956,house,67,72,54488
llace@bioplex.com,1790,condominium,70,73,83552
llace@xx-zobam.com,1709,house,75,75,60451
llacovara@codehow.com,244,house,76,71,54735
llacovara@ron-tech.com,959,apartment,65,74,91943
llary@groovestreet.com,1165,apartment,70,71,73553
llary@inity.com,1749,house,74,75,53211
llatzke@dontechi.com,3179,townhome,71,NULL,33733
llatzke@hatfan.com,204,"mobile home",74,73,43212
llawler@cancity.com,1602,house,71,73,56360
llayous@rantouch.com,1632,house,68,NULL,32702
lleinenbach@condax.com,2989,townhome,76,NULL,12159
lleinenbach@scottech.com,874,apartment,69,73,80549
llietz@bioplex.com,652,apartment,73,73,54983
llimmel@zencorporation.com,2355,house,70,72,67226
llimmel@zoomit.com,585,condominium,NULL,70,01074
llinahan@gogozoom.com,1165,townhome,NULL,NULL,66160
llinahan@kinnamplus.com,334,"mobile home",73,71,97307
llinahan@lexiqvolax.com,1402,apartment,76,NULL,98660
llinahan@singletechno.com,1441,house,72,NULL,39087
llipke@ontomedia.com,606,apartment,73,NULL,72329
llipke@rundofase.com,1805,townhome,70,74,06155
llipkin@kinnamplus.com,1637,house,65,70,98030
llizama@codehow.com,846,apartment,75,NULL,03821
lloader@treequote.com,1683,house,74,73,84319
llueckenbach@doncon.com,505,apartment,74,72,48852
llueckenbach@zoomit.com,2866,house,73,69,73933
llungren@doncon.com,554,house,71,68,06875
llungren@finjob.com,125,house,75,NULL,32236
lmaclead@doncon.com,754,house,72,75,96793
lmadarang@ontomedia.com,2820,house,76,71,98199
lmadarang@ron-tech.com,782,condominium,71,NULL,76204
lmaile@zotware.com,1006,apartment,75,76,34450
lmaillard@betatech.com,2680,house,75,74,85717
lmalet@ganjaflex.com,535,apartment,74,71,28815
lmalet@golddex.com,1352,townhome,72,NULL,52727
lmallett@condax.com,786,apartment,73,NULL,36462
lmalvin@iselectrics.com,564,townhome,NULL,74,68772
lmalvin@kan-code.com,880,townhome,NULL,70,13310
lmalvin@labdrill.com,3422,townhome,74,NULL,96846
lmanno@doncon.com,1160,house,70,NULL,77005
lmanno@fasehatice.com,1037,townhome,72,NULL,99606
lmanno@plexzap.com,427,apartment,72,NULL,04764
lmarrier@blackzim.com,827,apartment,75,71,06040
lmarrier@opentech.com,760,apartment,76,NULL,62898
lmartabano@funholding.com,895,apartment,73,NULL,25501
lmastella@fasehatice.com,1527,house,71,69,54135
lmastella@ganjaflex.com,759,house,69,73,99141
lmastella@isdom.com,1145,apartment,66,75,40340
lmauson@bioplex.com,156,house,71,72,54874
lmaybury@domzoom.com,323,apartment,73,75,93626
lmaybury@finhigh.com,3488,townhome,74,NULL,37395
lmaynerich@bioplex.com,1971,apartment,75,69,35649
lmclaird@blackzim.com,1255,townhome,75,75,57067
lmclaird@ganjaflex.com,685,house,69,75,85633
lmclaird@stanredtax.com,759,house,76,72,00215
lmcnease@dontechi.com,825,apartment,71,NULL,22711
lmcnease@nam-zim.com,1292,house,70,74,41017
lmconnell@scotfind.com,551,apartment,75,69,25976
lmcrae@warephase.com,2116,apartment,69,70,02188
lmeinerding@domzoom.com,1507,apartment,72,74,57016
